Suggested CSS naming conventions,,,,,,

File,Generic Name,Iteration,Old CSS ID or class,New CSS ID or class,Alternative,Notes

Framework.css,,,,,,Rename to style.css?
,,,shadow0,shadow-meta,,
,,,shadow1,shadow-right,,
,,,shadow2,shadow-bottom,,
,,,shadow3,shadow-corner,,
,,,page,main,,Revised. This is the main middle block of the page.
,,,contenAndLeftNav,content-container,Its not developed yet so the container still utites left-nav and the content,Revised. This will now contain the content and the sidebar.
,,,columnLeft,left-nav-container,,
,,,columnRight,sidebar,,
,,,leftNav,left-nav,Could you please provide a title for the left-nav group as Trenton advised . Opened level 2 navigation item should be titled also to let the user know that the group of links belong to subnavigation level,
,,,logoNavigation,logo-container,,
,,,logos,logo,,
,,,topExtraLinks,logo-links,How should the group the links be titled to let screen readers emphasizes ,
,,,mainNav,main-nav,,
,,,copyright,footer,,
,,,metaNav,meta-nav,,
,,,contentFooter,content-action,,
,,,footerIcons,content-action,the group should be titled,
,,,printIcon,content-action-print,,
,,,emailIcon,content-action-email,,
,,,footerNav,content-action-links,the group should be titled,
,,,pageTitle,,,
,,,firstItem,first-item,,
Buttons.css,,,,,,
,,,btnGrArrow,button-arrow-mtm,please rename to button-arrow-service,how should disabled buttons be named?
,,,btnBlArrow,button-arrow-shop,,
,,,btnGArrow,button-arrow,,
,,,btnGr,button-mtm,please rename to button-service,"Duplicate this button for services, compare phones, etc."
,,,btnBl,button-shop,,
,,,btnG,button,,
Account.css,,,,,,
,,,.account,#account,"as this layout is used for compare phones and service its better to introduce the more abstract name for the class = service-panel for instanse, please provide us with a proper name","Duplicate this DIV for services, compare phones, etc."
,,,.account .content,#account,,Can be merged?
,,,.account .headerBg,#account-header,,
,,,.account div.item,#account .block,,
,,,.account .item .hello,#account .hello,,
,,,.account .item .content,,,Replaced with <p> tag?
,,,.account .item h3,#account h3,,h2 tag used?
,,,.account .item h4,,,Replaced with <p> tag?
,,,.account div.buttons,#account-buttons,,
,,,.account .image,#account .image,,
,,,.account .imageDesc,#account .detail,,
,,,.account ul,#account ul,,
actionLink.css,,,,,,Should be merged to main stylesheet
,,,.actionLink ,.arrow-link,,Alter all instances
Banners.css,,,,,,
,,,div.mainBanner,content-banner,,
,,,.digitsA,digit-top-a,,
,,,.digitsB,digit-top-b,,
,,,.digitsC,digit-bottom-a,,
,,,.digitsD,digit-bottom-b,,
,,,.digitsE,digit-bottom-c,,
,,,.digitsF,digit-bottom-d,,
,,,div.mainBanner .digitsA span,content-banner span,,For all
,,,div.mainBanner .digitsA a,content-banner a,,Possibly can be changed for all?
BannerA.css,,,,,,
,,,#banner1,,,Needs an improved name
Basket.css,,,,,,Similar issues as per account.css
,,,.basket,#basket,,
,,,.basket h2,#basket-header,,
,,,.basket .content,#basket-content,,
,,,.basket div.item,#basket .block,,
,,,.basket div.item.end,#basket .last-block,,
,,,.basket .item h3,,,Replaced with <p> tag?
,,,.basket .item.current h3,,,Replaced with <p> tag?
,,,.basket .item h4,,,?
,,,.basket div.buttons,#basket-buttons,,
,,,.basket table,#basket-table,,
,,,.basket td.cost,,,
,,,.basket td.caption,,,
,,,.basket td.description,,,
,,,.basket .total td.cost,,,
,,,.basket .total td.caption,,,
digit-bottom-a.css,,,,,,"And also digit-bottom-b.css, etc."
,,,pageName-banner,banner-background,,Needs an improved name
blocksA.css,,,,,,Applies to blocksB.css also
