Template Definitions,,v10   27 June 05,,,,,,,,
ID,Template ID,Template Description,Template Type,Comments,Filename,PSD,HTML,CSS,Stylesheet,Owner
1,A1,Simple document,,"Title only, no banner. Predominantly text, but includes images and/or tables within content",?,,a1.htm,,,Martin Crockett
2,A3 ,Simple document w/ banner,Full page,"Banner w/o digit. Predominantly text, but includes images and/or tables within content",2_7_upgrades_renewals.gif,,a3.htm,,,Martin Crockett
3,A4,Tabbed content,Full page,"Tabbed menu w/ banner. Predominantly text, but includes images and/or tables within content",3_3_1_1_Pic_Messaging.gif,,a4.htm,,,Martin Crockett
4,A5,Confirmation,Full page,Title and large image. Simple statement copy,?,,a5.htm,,,Martin Crockett
5,A6,Bill view,Full page,,?,,a6.htm,,,Martin Crockett
6,A7,Multi-column format,Full page,A single and 2 column mixed format used in New to My T-Mobile,5_1_2_new_to_tmobile.gif,,a7.htm,,,Martin Crockett
7,F1,Tabbed function,Full page,"Tabbed function box, either text or form elements in box. By itself or with 1 or 2 column module",3_3_Messaging.gif,,f1.htm,,,Martin Crockett
8,F3,Simple form,Full page,"Title only, no banner. Form function box",?,,f3.htm,,,Martin Crockett
9,P1,Special Offer listing,Full page,,,,p1.htm,,,Martin Crockett
10,P2,Phone listing,Full page,,,,p2.htm,,,Martin Crockett
11,P3,Phone listing alternate,Full page,,?,,"p3,htm",,,Martin Crockett
12,P4,Plan listing,Full page,,,,p4.htm,,,Martin Crockett
13,P5,Phone detail page,Full page,,,,p5.htm,,,Martin Crockett
14,L1,"Primary landing, Banner and digit banner, 2 column modules",Full page,,,,l1.htm,,,Martin Crockett
15,L2,"Secondary landing, Banner w/o digit, 2 column modules",Full page,,,,l2.htm,,,Martin Crockett
16,L3,"Tertiary landing, No banner, 2 column modules",Full page,,?,,l3.htm,,,Martin Crockett
17,a,Single column,Full page,,,,a.htm,,,Martin Crockett
18,b,2 column content,Full page,,,,b.htm,,,Martin Crockett
19,,Full image,Small panel,Panel,,s_full.psd,s_full.htm,,,Martin Crockett
20,,Overlap,Small panel,Panel,,s_overlap.psd,s_overlap.htm,,,Martin Crockett
21,,Half image,Small panel,Panel,,s_half.psd,s_half.htm,,,Martin Crockett
